岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
QA游戏测试【双休+爱打游戏】,时空立方,100-499人,游戏,学历不限,1-3年,"['丰富的游戏经验', '手游测试经验', '主机游戏测试经验', 'UE']","['节日福利', '团建聚餐', '零食下午茶', '节假日加班费', '员工旅游', '带薪年假', '保底工资', '餐补', '底薪加提成', '补充医疗保险', '五险一金', '全勤奖', '绩效奖金']",12500.0,10-15K,广东,广州,,,113.383331,23.103517,https://www.zhipin.com/job_detail/3b5619825785ecae03F90t61GVNW.html,3b5619825785ecae03F90t61GVNW
游戏测试（战斗方向）,时空视觉,500-999人,游戏,学历不限,经验不限,"['丰富的游戏经验', '主机游戏测试经验', '手游测试经验', '开发经验', '用研经验']","['团建聚餐', '免费健身房', '年终奖', '意外险', '定期体检', '生日福利', '交通补助', '带薪年假', '绩效奖金', '全勤奖', '加班补助', '节日福利', '零食下午茶', '五险一金', '保底工资', '补充医疗保险', '员工旅游']",12500.0,10-15K,广东,广州,海珠区,琶洲,113.383290156299,23.103568390789164,https://www.zhipin.com/job_detail/97d99142c5c7fe890nJ52N24E1BZ.html,97d99142c5c7fe890nJ52N24E1BZ
游戏测试,广州优辰传媒有限公司,100-499人,计算机软件,学历不限,在校/应届,"['游戏', '测试', '游戏测试']","['绩效奖金', '生日福利', '节假日加班费', '保底工资', '团建聚餐', '有无线网', '法定节假日三薪', '员工旅游', '底薪加提成', '带薪年假', '年终奖', '五险一金']",8500.0,6-11K·13薪,广东,广州,海珠区,琶洲,113.378804,23.095979,https://www.zhipin.com/job_detail/e67371cec25e83050nJ70tu8FFNV.html,e67371cec25e83050nJ70tu8FFNV
游戏测试组长（卡牌手游）,心光网络,20-99人,游戏,大专,5-10年,"['卡牌', '手游', '手游测试经验', '游戏']","['有无线网', '五险一金', '零食下午茶', '带薪年假', '全勤奖', '定期体检', '节假日加班费', '节日福利', '包吃', '免费午晚餐']",17500.0,15-20K,广东,广州,,,113.371498,23.123473,https://www.zhipin.com/job_detail/bee3af793adc5bbb1XBz09q4FFRS.html,bee3af793adc5bbb1XBz09q4FFRS
游戏测试（大量招人）,武汉佰钧成技术,1000-9999人,计算机软件,大专,1-3年,[],"['带薪年假', '补充医疗保险', '定期体检', '节日福利', '五险一金']",9000.0,7-11K,广东,广州,海珠区,琶洲,113.384886,23.103678,https://www.zhipin.com/job_detail/9c1b7b4957033f7e0nd-2ti0EFNV.html,9c1b7b4957033f7e0nd-2ti0EFNV
游戏测试,小智游创,100-499人,游戏,学历不限,1-3年,"['丰富的游戏经验', '回合制', '梦幻西游', '神武', '长安幻想', '问道']","['结婚生育福利', '自助茶水间', '加班餐/打车', '团建聚餐', '节日福利', '补充医疗保险', '生日福利', '司龄福利年假', '年终奖', '猫咪加油站', '工作餐', '五险一金', '意外险', '带薪年假', '定期体检', '零食下午茶']",12500.0,10-15K·13薪,广东,广州,天河区,棠下,113.375549,23.116751,https://www.zhipin.com/job_detail/249a13e10c41a4e00nB70tS9F1tW.html,249a13e10c41a4e00nB70tS9F1tW
游戏测试工程师,深圳腾娱互动科技,1000-9999人,游戏,本科,经验不限,[],"['五险一金', '年终奖', '补充医疗保险', '定期体检']",16000.0,12-20K·14薪,广东,广州,海珠区,琶洲,113.34595785491383,23.104958036931023,https://www.zhipin.com/job_detail/48157ac7bce7380f0nd73Ni8FlZQ.html,48157ac7bce7380f0nd73Ni8FlZQ
游戏测试,龙猫传媒,20-99人,游戏,中专/中技,1-3年,[],"['意外险', '五险一金', '全勤奖', '员工旅游', '带薪年假']",10500.0,8-13K,广东,广州,海珠区,琶洲,113.383290156299,23.103568390789164,https://www.zhipin.com/job_detail/cc091a5ac28dddff0nJ52Ny6EFtT.html,cc091a5ac28dddff0nJ52Ny6EFtT
鸣潮-测试工程师（外编）,库洛,1000-9999人,游戏,大专,1-3年,"['软件测试经验', '丰富的游戏经验', '游戏测试', '测试工程师', '主机游戏测试经验']","['绩效奖金', '健身房', '包吃', '带薪年假', '定期体检', '年终奖', '五险一金', '节日福利', '年度体检', '零食下午茶', '团建聚餐', '补充医疗保险']",12500.0,10-15K,广东,广州,,,113.40181224106934,23.16660279841194,https://www.zhipin.com/job_detail/2cc6f6c762b291560nFz3tW_GFBR.html,2cc6f6c762b291560nFz3tW_GFBR
游戏测试工程师,启点影画,20-99人,游戏,本科,3-5年,[],"['法定节假日三薪', '定期体检', '年终奖', '团建聚餐', '节日福利', '有无线网', '五险一金', '带薪年假', '零食下午茶', '加班补助', '生日福利', '绩效奖金', '员工旅游']",17500.0,15-20K,广东,广州,天河区,棠下,113.37245195284318,23.12597385860822,https://www.zhipin.com/job_detail/b3d9178d014f89640nF-2964F1JU.html,b3d9178d014f89640nF-2964F1JU
