岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
H80013岗游戏测试,武汉佰钧成,10000人以上,移动互联网,大专,经验不限,[],"['员工旅游', '节日福利', '定期体检', '五险一金', '零食下午茶', '补充医疗保险', '加班补助', '通讯补贴', '全勤奖', '带薪年假']",11500.0,9-14K,浙江,杭州,滨江区,长河,120.22138483346556,30.200695904297714,https://www.zhipin.com/job_detail/0fa9ca8e76805fab0nJ709-1EFRR.html,0fa9ca8e76805fab0nJ709-1EFRR
游戏黑盒测试（初/中/高）,慧博云通,10000人以上,计算机软件,大专,经验不限,[],"['定期体检', '节日福利', '零食下午茶', '带薪年假', '加班补助', '生日福利', '五险一金', '补充医疗保险']",13500.0,12-15K,浙江,杭州,滨江区,长河,120.22174034415096,30.200964424914318,https://www.zhipin.com/job_detail/0f08a59752ca875c0nJ73NS4F1RZ.html,0f08a59752ca875c0nJ73NS4F1RZ
游戏测试工程师（学信网/大厂）,广州时空,100-499人,计算机软件,大专,1-3年,['手游测试经验'],"['带薪年假', '节日福利', '年终奖', '五险一金', '定期体检']",10500.0,8-13K,浙江,杭州,滨江区,长河,120.19114439217248,30.185054372475076,https://www.zhipin.com/job_detail/d01d5937a1089af70nF829y8EFJV.html,d01d5937a1089af70nF829y8EFJV
三角洲游戏跑刀测试,杭州锐竞电竞俱乐部,20-99人,互联网,学历不限,经验不限,[],[],,55-150元/时,浙江,杭州,西湖区,西溪,120.1278243943656,30.27335816115008,https://www.zhipin.com/job_detail/38bbb19cd8bedfbd0nd93tW5F1JY.html,38bbb19cd8bedfbd0nd93tW5F1JY
MMORPG游戏测试,浮点,100-499人,互联网,大专,3-5年,"['RPG', '游戏测试', 'MMORPG', 'MMO', '游戏行业']","['五险一金', '补充医疗保险', '定期体检', '加班补助']",12500.0,10-15K,浙江,杭州,滨江区,长河,120.22213201749548,30.201337478084458,https://www.zhipin.com/job_detail/ab19d3b7eb9459920nJ42tS6GFRY.html,ab19d3b7eb9459920nJ42tS6GFRY
游戏测评,宁波比孚,100-499人,互联网,大专,经验不限,[],"['生日福利', '法定节假日三薪', '定期体检', '节假日加班费', '绩效奖金', '节日福利', '带薪年假', '团建聚餐', '工龄奖', '游戏比赛', '年度调薪', '专业培训', '一对一导师', '交通补助', '餐补', '年终奖', '五险一金', '加班补助']",6500.0,6-7K,浙江,杭州,拱墅区,上塘,120.195049,30.346832,https://www.zhipin.com/job_detail/ef1b3d64a30f51070nJ52Nq7GFZX.html,ef1b3d64a30f51070nJ52Nq7GFZX
游戏测试工程师-mmo游戏测试工作经验优先,纬致芯创科技,1000-9999人,计算机软件,本科,1-3年,"['游戏', 'mmo']","['节日福利', '五险一金', '团建聚餐', '补充医疗保险', '员工旅游', '定期体检', '带薪年假', '零食下午茶']",12000.0,10-14K,浙江,杭州,滨江区,长河,120.22213201749548,30.201337478084458,https://www.zhipin.com/job_detail/434fefeba1326ab10nJ72tu6FVJS.html,434fefeba1326ab10nJ72tu6FVJS
游戏测试【双休】,上海韬源信息,500-999人,互联网,大专,1-3年,[],"['带薪年假', '弹性工作时间', '五险一金', '零食下午茶', '节日福利', '全勤奖']",12500.0,10-15K,浙江,杭州,滨江区,长河,120.222137,30.201318,https://www.zhipin.com/job_detail/0cb9c2f715cae0900nJ73tm_GVdY.html,0cb9c2f715cae0900nJ73tm_GVdY
SLG游戏测试,电魂,1000-9999人,游戏,学历不限,3-5年,"['手游测试经验', 'SLG', '战斗测试', '数值测试']","['股票期权', '高温补贴', '加班补助', '年终奖', '足球场', '员工旅游', '餐补', '团建聚餐', '免费健身房', '篮球场', '零食下午茶', '旅游基金', '羽毛球馆', '生日福利', '带薪年假', '五险一金', '补充医疗保险', '节日福利', '定期体检']",12500.0,10-15K·13薪,浙江,杭州,,,120.214771,30.186489,https://www.zhipin.com/job_detail/f6c4bf246a29a7750nF-3Ny8EFBS.html,f6c4bf246a29a7750nF-3Ny8EFBS
游戏测试,丹泓科技,20-99人,游戏,学历不限,1-3年,['丰富的游戏经验'],[],12500.0,10-15K,浙江,杭州,上城区,城东,120.216078,30.294851,https://www.zhipin.com/job_detail/7ab69b43bf3555641XBy3d-9GVZT.html,7ab69b43bf3555641XBy3d-9GVZT
游戏测试,杭州哈萨维互联网科技,20-99人,计算机软件,学历不限,经验不限,[],"['五险一金', '带薪年假', '节假日加班费', '员工旅游', '底薪加提成', '有无线网', '生日福利', '年终奖', '团建聚餐', '绩效奖金', '法定节假日三薪', '保底工资']",7500.0,5-10K,浙江,杭州,,,120.36964123352712,30.30513753328662,https://www.zhipin.com/job_detail/e9b51de2fdc97d120nF82Nq9GVNZ.html,e9b51de2fdc97d120nF82Nq9GVNZ
游戏测试（双休）,北京七凌科技有限公司,1000-9999人,移动互联网,大专,1-3年,"['Java', '丰富的游戏经验', '手游测试经验', '计算机相关专业', '主机游戏测试经验', 'Python']","['节日福利', '带薪年假', '五险一金']",8000.0,7-9K,浙江,杭州,西湖区,西溪,120.076325,30.291519,https://www.zhipin.com/job_detail/24b37e7159918f3503V60tW4EFpW.html,24b37e7159918f3503V60tW4EFpW
