岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
游戏测试（腾娱子公司）,腾讯互娱,10000人以上,游戏,本科,3-5年,"['丰富的游戏经验', '手游测试经验']","['住房补贴', '免费班车', '股票期权', '年终奖', '全勤奖', '补充医疗保险', '五险一金', '带薪年假', '定期体检', '节日福利', '餐补', '员工旅游']",15000.0,13-17K·13薪,湖北,武汉,江夏区,纸坊,114.332831,30.385286,https://www.zhipin.com/job_detail/19e50595173464af1HZz29S7EVRT.html,19e50595173464af1HZz29S7EVRT
资深游戏策划（休闲小游戏）,武汉市高飞科技,20-99人,互联网,本科,3-5年,"['休闲益智', '三消']",['五险一金'],25000.0,20-30K,湖北,武汉,洪山区,关山,114.412818,30.493904,https://www.zhipin.com/job_detail/d2f43a93cde8b3fa1HJz3d69GVdV.html,d2f43a93cde8b3fa1HJz3d69GVdV
游戏专项测试（前端性能）-武汉腾娱,腾讯,10000人以上,互联网,本科,3-5年,"['软件测试经验', '丰富的游戏经验', '手游测试经验']","['公仔周边活动', '定期体检', '员工旅游', '五险一金', '意外险', '免费班车', '交通补助', '团建聚餐', '节日福利', '有无线网', '带薪年假', '补充医疗保险', '年终奖', '免费健身房']",20000.0,15-25K·14薪,湖北,武汉,江夏区,纸坊,114.332831,30.385286,https://www.zhipin.com/job_detail/23e88d425b5fe99503V639i6EFNQ.html,23e88d425b5fe99503V639i6EFNQ
游戏主策（工作地：深圳/沈阳）,纵艺科技,100-499人,游戏,本科,5-10年,"['体育/竞技', '卡牌/战棋', '足球', '休闲益智', '台球', '篮球', '棋牌']","['员工旅游', '交通补助', '节日福利', '全勤奖', '年终奖', '生日福利', '零食下午茶', '团建聚餐', '加班补助', '外派学习', '绩效奖金', '带薪年假', '五险一金', '餐补']",20000.0,15-25K,湖北,武汉,,,114.411176,30.480438,https://www.zhipin.com/job_detail/2726019a77aa07a90nB62Ni8FFZS.html,2726019a77aa07a90nB62Ni8FFZS
游戏制作人,武汉天龙志成科技,100-499人,游戏,本科,5-10年,"['休闲益智', '模拟经营']","['节日福利', '五险一金', '零食下午茶', '餐补', '团建聚餐', '绩效奖金', '带薪年假']",25000.0,20-30K,湖北,武汉,洪山区,关山,114.410386,30.490946,https://www.zhipin.com/job_detail/02747847f6db85c01HBz2Nq7GVZY.html,02747847f6db85c01HBz2Nq7GVZY
游戏发行制作人(海外运营),武汉游心科技有限公司,20-99人,游戏,本科,3-5年,"['游戏内容运营', '游戏活动运营', '手游', '休闲益智', '数据分析能力', '渠道推广经验', '不接受居家办公']","['年终奖', '五险一金']",15500.0,11-20K,湖北,武汉,洪山区,珞珈山,114.3349032090856,30.5028041917986,https://www.zhipin.com/job_detail/ad02cdaa865ade940nF73N6-FVBT.html,ad02cdaa865ade940nF73N6-FVBT
游戏策划,速诺科技,100-499人,互联网,本科,1-3年,[],"['带薪年假', '生日福利', '年终奖', '节日福利', '五险一金', '新婚礼物', '导师机制', '零食下午茶', '交通补助', '股票期权', '加班补助', '节日福利', '定期体检', '生育礼物', '互联网文化', '工作日团建', '员工旅游', '慰问津贴', '意外险', '团建聚餐']",18000.0,12-24K,湖北,武汉,江夏区,流芳,114.440651,30.488488,https://www.zhipin.com/job_detail/66546a9625948677031_2dq9E1VU.html,66546a9625948677031_2dq9E1VU
Unity 游戏开发工程师（常驻长沙）,美木,20-99人,游戏,本科,1-3年,[],"['生日福利', '带薪年假', '团建聚餐', '年终奖', '零食下午茶', '员工旅游', '绩效奖金', '五险一金']",15500.0,11-20K·13薪,湖北,武汉,洪山区,关山,114.404057,30.475014,https://www.zhipin.com/job_detail/7415f620548629ff0nd429y8FVZW.html,7415f620548629ff0nd429y8FVZW
资深游戏策划（休闲游戏）,武汉花卷科技有限公司,20-99人,游戏,本科,3-5年,['休闲益智'],"['节日福利', '团建聚餐', '全勤奖', '绩效奖金', '年终奖', '五险一金']",21500.0,18-25K·13薪,湖北,武汉,洪山区,关山,114.415912,30.492971,https://www.zhipin.com/job_detail/17469ef9093699a303B-3dy0FVdU.html,17469ef9093699a303B-3dy0FVdU
产品经理（游戏方向）,花样年华,20-99人,互联网,本科,1-3年,"['手游', '游戏平台', 'C端产品', '电商产品', '用户增长', '内容产品']","['绩效奖金', '团建聚餐', '夜班补助', '员工旅游', '五险一金', '法定节假日三薪', '节日福利', '零食下午茶', '节假日加班费', '带薪年假']",15000.0,12-18K,湖北,武汉,江夏区,金融港,114.431834,30.452477,https://www.zhipin.com/job_detail/c1778fb5a7c8bb710nZ629i6GVRQ.html,c1778fb5a7c8bb710nZ629i6GVRQ
游戏制作人,乐谷游戏,100-499人,游戏,本科,5-10年,[],"['加班补助', '五险一金', '全勤奖', '定期体检', '有无线网', '节假日加班费', '带薪年假', '交通补助', '餐补', '生日福利', '工龄奖', '零食下午茶', '绩效奖金', '团建聚餐', '员工旅游', '股票期权', '年终奖', '节日福利']",27500.0,20-35K,湖北,武汉,洪山区,珞狮南路,114.319959,30.472229,https://www.zhipin.com/job_detail/f0f0a810bc2d69cc1Hx60tm9EFZX.html,f0f0a810bc2d69cc1Hx60tm9EFZX
游戏主策划,龙隐互娱,100-499人,游戏,本科,5-10年,"['战斗系统设计', '经济系统搭建', '怪物数值设计', 'RPG游戏', '卡牌/战棋']","['带薪年假', '五险一金', '员工旅游', '股票期权', '年终奖', '定期体检', '零食下午茶', '节日福利', '餐补', '加班补助']",17500.0,15-20K,湖北,武汉,青山区,青山,114.372851,30.629788,https://www.zhipin.com/job_detail/85f2809fa40d7ae41HV83t-4F1BW.html,85f2809fa40d7ae41HV83t-4F1BW
