岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
金铲铲游戏测试（双休加班车＋有加班费）,亿达信息,1000-9999人,计算机软件,大专,1-3年,['手游测试经验'],"['补充医疗保险', '加班补助', '定期体检', '五险一金', '带薪年假', '节日福利']",10500.0,8-13K,广东,深圳,宝安区,西乡,113.8667792011987,22.53675245743798,https://www.zhipin.com/job_detail/524ea0b76934a1040nB639m5ElFX.html,524ea0b76934a1040nB639m5ElFX
和平精英游戏测试,麦思吉,100-499人,互联网,大专,1-3年,"['丰富的游戏经验', '手游测试经验', '计算机相关专业', '主机游戏测试经验']","['节假日加班费', '交通补助', '带薪年假', '零食下午茶', '法定节假日三薪', '五险一金', '加班补助', '节日福利', '员工旅游', '绩效奖金', '年终奖', '通讯补贴']",7000.0,6-8K,广东,深圳,,,113.937777,22.54575,https://www.zhipin.com/job_detail/7817165a759da6fe031y3ty_FVJS.html,7817165a759da6fe031y3ty_FVJS
游戏测试,深圳博星耀传媒,0-20人,计算机软件,学历不限,在校/应届,"['游戏', '游戏测试', '测试']","['底薪加提成', '法定节假日三薪', '团建聚餐', '保底工资', '有无线网', '节假日加班费', '五险一金', '生日福利', '零食下午茶', '绩效奖金', '员工旅游', '年终奖', '带薪年假']",9500.0,7-12K,广东,深圳,福田区,车公庙,114.05548,22.544124,https://www.zhipin.com/job_detail/ffb9e02719aed7210nB72N65EVRQ.html,ffb9e02719aed7210nB72N65EVRQ
各类游戏测试-外包腾讯可内推加班费福利好,软通动力,10000人以上,计算机软件,大专,经验不限,['丰富的游戏经验'],"['带薪年假', '五险一金', '交通补助', '定期体检', '零食下午茶']",10000.0,8-12K·13薪,广东,深圳,宝安区,西乡,113.8648245890703,22.542575527658503,https://www.zhipin.com/job_detail/f8dcfe83dba1fc6d03162t-8F1NQ.html,f8dcfe83dba1fc6d03162t-8F1NQ
游戏测试 周末双休,中软国际,10000人以上,计算机软件,大专,3-5年,"['Python', 'MySQL', 'JMeter', '计算机相关专业', '手游测试经验', '主机游戏测试经验', '丰富的游戏经验', '软件测试经验', '独立设计测试用例', '游戏功能测试', '用例设计能力比较强']","['节假日加班费', '定期体检', '免费班车', '零食下午茶', '五险一金', '节日福利', '带薪年假', '年终奖']",7500.0,7-8K,广东,深圳,南山区,科技园,113.934497,22.540517,https://www.zhipin.com/job_detail/bf93392491bf843f0nJ609u1F1pR.html,bf93392491bf843f0nJ609u1F1pR
游戏外挂测试/视频审核（FPS）,腾云忆想,1000-9999人,互联网,大专,1-3年,"['fps', '三角洲手游', '彩虹六号']","['有无线网', '五险一金', '带薪年假', '节日福利', '法定节假日三薪', '年终奖', '零食下午茶', '绩效奖金', '出差补贴']",5500.0,5-6K,广东,深圳,南山区,科技园,113.93284,22.541466,https://www.zhipin.com/job_detail/ad621b8974f5d8c80nZ63dS6FVJT.html,ad621b8974f5d8c80nZ63dS6FVJT
游戏测试（长期稳定+双休+大厂福利）,武汉佰钧成技术,1000-9999人,计算机软件,大专,经验不限,[],"['节日福利', '补充医疗保险', '定期体检', '五险一金', '带薪年假']",9000.0,7-11K·13薪,广东,深圳,宝安区,西乡,113.85489,22.56321,https://www.zhipin.com/job_detail/9aafed450ae923140nF40t68FFVZ.html,9aafed450ae923140nF40t68FFVZ
游戏测试（大厂双休）,博彦科技,10000人以上,计算机软件,大专,1-3年,"['手游测试经验', 'tapd', '游戏功能测试', '游戏测试', '版本测试', '游戏性能测试', '计算机相关专业', '主机游戏测试经验']","['五险一金', '年终奖', '定期体检', '免费班车', '带薪年假', '节日福利']",10500.0,8-13K,广东,深圳,南山区,科技园,113.943561,22.548272,https://www.zhipin.com/job_detail/19378d0812e7a2ab1Hxz2dm-E1VS.html,19378d0812e7a2ab1Hxz2dm-E1VS
深圳急招游戏测试工程师,中电金信,10000人以上,计算机软件,大专,1-3年,"['Shell', '丰富的游戏经验', '手游测试经验', 'MySQL', '专项测试', '游戏测试', '计算机相关专业', '主机游戏测试经验', 'Python']","['节日福利', '补充医疗保险', '五险一金', '定期体检']",9500.0,7-12K,广东,深圳,南山区,科技园,113.943561,22.548272,https://www.zhipin.com/job_detail/411f17e8b1f71a0f03J72dy4ElRS.html,411f17e8b1f71a0f03J72dy4ElRS
游戏测试工程师（公司正编岗）,尚游游戏,100-499人,游戏,大专,经验不限,"['丰富的游戏经验', '手游测试经验', '计算机相关专业']","['年终奖', '加班补助', '餐补', '员工旅游', '带薪年假', '五险一金', '定期体检', '补充医疗保险', '节日福利', '零食下午茶']",14500.0,11-18K·13薪,广东,深圳,南山区,科技园,113.951215,22.537914,https://www.zhipin.com/job_detail/f2b9b5e530e949690nZ43Ny9FFdT.html,f2b9b5e530e949690nZ43Ny9FFdT
游戏测评工程师（实习可转正）,腾讯,10000人以上,互联网,本科,在校/应届,"['射击游戏', '格斗游戏', 'RPG游戏', '接受实习/在校生投递']","['交通补助', '员工旅游', '免费班车', '有无线网', '定期体检', '五险一金', '节日福利', '公仔周边活动', '免费健身房', '意外险', '带薪年假', '补充医疗保险', '团建聚餐', '年终奖']",17500.0,15-20K·15薪,广东,深圳,南山区,科技园,113.943561,22.548272,https://www.zhipin.com/job_detail/701f445fadcf27d303Z-2N-4GFJU.html,701f445fadcf27d303Z-2N-4GFJU
海外游戏测试工程师,深圳市星河视觉设计,0-20人,文化艺术/娱乐,学历不限,1-3年,[],[],12500.0,10-15K,广东,深圳,宝安区,西乡,113.8550369203974,22.5747013060348,https://www.zhipin.com/job_detail/5d985a5720159a490nF43Nm5EVVT.html,5d985a5720159a490nF43Nm5EVVT
游戏测试,必凡娱乐,100-499人,游戏,大专,1-3年,"['计算机相关专业', '功能测试', '游戏测试']","['年终奖', '定期体检', '股票期权', '员工旅游', '节日福利', '交通补助', '团建聚餐', '零食下午茶', '带薪年假', '五险一金', '生日福利']",10500.0,8-13K·13薪,广东,深圳,南山区,前海,113.90032513852363,22.537209008877216,https://www.zhipin.com/job_detail/1996066134a8339e03172tu5EFNS.html,1996066134a8339e03172tu5EFNS
