岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
游戏测试,苏州力麦信息咨询,20-99人,互联网,高中,在校/应届,[],"['交通补助', '保底工资', '五险一金', '零食下午茶', '生日福利', '年终奖', '员工旅游', '绩效奖金', '节日福利', '底薪加提成', '带薪年假', '法定节假日三薪', '节假日加班费']",7500.0,5-10K,江苏,苏州,姑苏区,苏州火车站,120.6094772108941,31.33323490468936,https://www.zhipin.com/job_detail/8d3b47e7706a1e100nFz2NW0GVFX.html,8d3b47e7706a1e100nFz2NW0GVFX
手游测试工程师,苏州溪客,20-99人,互联网,学历不限,经验不限,"['iOS测试', '功能测试', '性能测试', '移动端测试', 'Android测试', '手游测试', '卡牌游戏', '角色扮演游戏']","['交通补助', '年终奖', '全勤奖', '五险一金']",10000.0,8-12K·13薪,江苏,苏州,苏州工业园区,独墅湖,120.734909,31.25494,https://www.zhipin.com/job_detail/e9a49a9f8c5d0da71nF52d-6GVdS.html,e9a49a9f8c5d0da71nF52d-6GVdS
暑期游戏测评员-远程-可来实习证明,苏州柠安科技有限公司,20-99人,计算机软件,大专,,"['游戏测评', '暑假实习']","['团建聚餐', '员工旅游', '法定节假日三薪', '加班补助', '零食下午茶', '有无线网', '五险一金', '绩效奖金', '带薪年假', '底薪加提成', '保底工资', '节假日加班费', '有无线网', '年终奖', '生日福利']",,150-200元/天,江苏,苏州,相城区,元和,120.64595981491448,31.392871287049644,https://www.zhipin.com/job_detail/b745ea2a9c2b8c9e0nF52tq_E1JR.html,b745ea2a9c2b8c9e0nF52tq_E1JR
游戏-3D场景建模-无需测试（非外派）,深度涂鸦工作室,20-99人,游戏,学历不限,1-3年,"['周末双休', 'ZBrush', '高模雕刻经验', '有游戏场景经验', '场景建模', '写实', '五险一金', '次世代经验', '1-3年游戏场景经验', '无需外派', '二次元', 'SP', 'MAYA']","['年终奖', '五险一金']",16500.0,12-21K,江苏,苏州,,,120.73769,31.263941,https://www.zhipin.com/job_detail/d7ded3c84fd3e2310nF-39u4FFpU.html,d7ded3c84fd3e2310nF-39u4FFpU
爱玩游戏的宝子们 急招 热门游戏均可,广州乌宾传媒有限公司,0-20人,互联网,学历不限,经验不限,"['会玩游戏', '游戏陪玩/代练经验', '需要夜班', '线上接单', '线下到岗', '会玩端游', '会玩手游', '三角洲行动', '崩坏星穹铁道', '绝区零', '原神']",[],,35-50元/时,江苏,苏州,,,120.71947,31.323667,https://www.zhipin.com/job_detail/b2e4044725e76c120nJ439q7EVFU.html,b2e4044725e76c120nJ439q7EVFU
游戏测试,安阳讯凌企业管理,0-20人,互联网,学历不限,经验不限,"['手游测试经验', '丰富的游戏经验']","['保底工资', '底薪加提成', '法定节假日三薪', '有无线网', '餐补', '年终奖', '工龄奖', '全勤奖', '节假日加班费', '带薪年假', '夜班补助', '员工旅游', '住房补贴', '免费工装', '团建聚餐', '零食下午茶', '加班补助', '绩效奖金', '通讯补贴', '企业年金']",10500.0,10-11K,江苏,苏州,姑苏区,桃花坞,120.614096,31.342619,https://www.zhipin.com/job_detail/23dfc5d23f56d20103Jy2N69FlZU.html,23dfc5d23f56d20103Jy2N69FlZU
游戏策划助理,多益网络,1000-9999人,互联网,本科,经验不限,[],[],8500.0,7-10K·14薪,江苏,苏州,,,120.730739,31.251658,https://www.zhipin.com/job_detail/70648fa59936cbd30nJ729i6FVdR.html,70648fa59936cbd30nJ729i6FVdR
游戏质检组长,超娱互动,20-99人,游戏,大专,3-5年,"['测试工程师', '游戏', '游戏测试', '自动化测试', '性能测试', '禅道']","['五险一金', '节日福利', '年终奖', '带薪年假', '加班补助', '员工旅游']",9500.0,7-12K,江苏,苏州,苏州工业园区,双湖广场,120.670267,31.277546,https://www.zhipin.com/job_detail/f6de3c64678e3e6f0HR63dq5GFs~.html,f6de3c64678e3e6f0HR63dq5GFs~
游戏测试实习生,友谊时光,1000-9999人,游戏,本科,,[],"['五险一金', '定期体检', '年终奖', '带薪年假']",,200-250元/天,江苏,苏州,苏州工业园区,独墅湖,120.732907,31.25097,https://www.zhipin.com/job_detail/9d33fc8b8f8cc08203d-3du5EVpV.html,9d33fc8b8f8cc08203d-3du5EVpV
游戏打手,张家港市金港撒野...,0-20人,游戏,学历不限,经验不限,['丰富的游戏经验'],[],6000.0,4-8K,江苏,苏州,,,120.401692,31.959531,https://www.zhipin.com/job_detail/ec739e580aac7ae403Fz0tm1GFRR.html,ec739e580aac7ae403Fz0tm1GFRR
